,Utterance,Start,End,Group,Participant,Transcript,int,uns-ov
58,58,191.46,195.96,4,1,Purple is thirty forty yeah cool they're fifty,0,0
59,59,199.65,200.85,4,3,Hey cool,0,0
60,60,199.02,199.73,4,2,So it's like that ,0,0
61,61,203.1,204.75,4,3,We can see the first part of the task,0,0
62,62,203.1,206.01,4,1,Did um so did,0,0
63,63,209.31,212.34,4,3,Oh there's a new thing without a scale,0,0
64,64,213.51,217.65,4,4,Now you will determine the weight of this mystery block without using the scale,0,0
65,65,217.77,219.75,4,4,You will have two attempts to enter the weight correctly,0,0
66,66,220.29,226.71,4,3,Ok I vote here's my vote alright,0,0
67,67,227.07,237.63,4,3,"We each go around, we each come up with a weight ourselves and then we vote then don't look at what we do",0,1
68,68,230.25,233.84,4,2,Yeah ok I'm not going to look at what you guys do,0,0
69,69,241.38,243.87,4,2,You're just like making out,0,0
70,70,243.93,246.27,4,1,Dude,0,0
71,71,268.32,274.62,4,2,Intrusive thoughts,0,0
72,72,282.15,291.63,4,3,I'm done why is there another block over there,0,0
73,73,297.73,298.75,4,2,Dude what,0,0
74,74,294.0,296.07,4,1,Block,0,0
75,75,297.9,300.33,4,1,I'll google what it is,1,0
76,76,302.31,306.36,4,2,This is tough this is really tough actually,0,0
77,77,306.96,311.79,4,3,But by voting we get a better chance statistically of being correct,0,0
78,78,311.91,314.34,4,2,True very true,0,0
79,79,318.39,320.76,4,2,How are you holding them like I don't I guess I'll,0,0
80,80,352.44,356.01,4,2,I guess we can watch him can't we,0,0
81,81,356.97,359.31,4,2,No pressure,0,0
82,82,365.31,368.73,4,2,You having fun,0,0
83,83,371.46,373.59,4,1,Friction,0,0
84,84,373.95,380.1,4,3,We get any sort of feedback if we enter any correctly is it higher or lower or are we going to get that wrong,0,0
85,85,381.75,386.33,4,3,Because you said we get two attempts so will we feedback saying we were too high or too low,0,0
86,86,386.33,387.83,4,4,You will get some type of feedback ,0,0
87,87,387.99,390.33,4,3,Ok,0,0
88,88,391.14,394.05,4,3,So in that case we should change our strategy,0,0
89,89,394.11,395.92,4,3,What is the type of feedback we get,0,0
90,90,396.5,397.58,4,2,Probably not supposed to know ,0,0
91,91,410.1,412.38,4,2,Oh interesting,0,0
92,92,418.25,420.75,4,3,I mean we could make a,0,0
93,93,421.71,426.39,4,2,Cheating I think I don't know probably,0,1
94,94,423.94,424.5,4,3,Is it though ,0,0
95,95,428.94,433.92,4,1,Can we use the floor I need a frictionless surface,0,1
96,96,430.51,431.33,4,2,Why don't you just ,0,0
97,97,435.24,438.21,4,1,Is this the same or,0,0
98,98,440.13,442.08,4,2,How are you measuring your force,0,0
99,99,442.09,444.63,4,3,Yeah how are you being exact in your force,0,0
100,100,446.79,450.83,4,1,I just wanted to apply this,0,0
101,101,452.22,454.11,4,2,I mean weight is still physics,0,0
102,102,454.14,456.12,4,1,True  ,0,0
103,103,459.51,464.67,4,2,I don't have a good answer just so you know I have like a range of somewhat,0,0
104,104,463.67,465.99,4,3,I have a range as well,1,0
105,105,466.26,468.24,4,1,This one feels best for me,0,0
106,106,468.63,470.61,4,2,Seem I'm between that and all of them,0,0
107,107,470.79,478.47,4,3,I thought it was closer to yellow green and like a red,0,0
108,108,476.4,478.47,4,2,Really ok ,0,0
109,109,478.77,480.83,4,1,No way no way,0,0
110,110,479.58,480.84,4,2,Yeah let me feel that to,1,0
111,111,486.96,494.4,4,2,Yeah no shot no shot I think this is a good way to do it actually side is kind of hard,0,0
112,112,498.19,498.92,4,3,Do that again,0,0
113,113,495.21,499.17,4,3,Yeah you guys are right so if you do,0,0
114,114,499.26,502.17,4,3,I like how we abandoned the voting,0,0
115,115,501.05,504.06,4,2,Well I think I mean we eliminated some like,1,0
116,116,504.48,506.46,4,2,That's where I thought was pretty good,0,0
117,117,507.25,520.74,4,1,This one feels good this one for some reason feels weird yeah I know ok so fifties ten,0,0
118,118,507.15,514.83,4,2,But it's hard to say it makes it look almost lighter well I mean,0,0
119,119,512.08,520.74,4,3,Alright I'm ok with this so that's,1,0
120,120,520.86,523.84,4,3,It would be fifty plus thirty so one ten,0,0
121,121,524.44,526.11,4,2,Yeah this is pretty good,0,0
122,122,527.73,529.09,4,3,We happy with one ten,0,0
123,123,527.73,532.26,4,1,Moment of truth yeah that makes one twenty,0,1
124,124,529.33,531.25,4,2,Yeah I am,0,0
125,125,532.29,534.45,4,2,Yeah,0,0
126,126,534.87,543.06,4,3,It's not quite correct think about the relationship between weights of the prior blocks and use a pattern to determine the weight of the mystery block,0,0
127,127,543.12,553.76,4,3,Ten ten twenty thirty fifty so plus plus it's fibonnaci it's fucking fibonnaci,0,0
128,128,546.55,556.14,4,2,So it's like these these two god,1,0
129,129,549.75,556.14,4,1,Is it fibonacci oh my gosh,1,0
130,130,548.64,564.6,4,3,So ten plus ten is twenty twenty plus ten is thirty thirty plus twenty is fifty so it's eighty so I was fucking right,1,1
131,131,556.53,559.84,4,2,I saw something wasn't there something about fibonacci in the form,0,0
132,132,564.87,569.82,4,1,Yeah I guess so,0,0
133,133,570.24,577.5,4,3,Right my math is right right because thirty plus fifty is then eighty yeah,0,0
134,134,577.59,580.58,4,3,Like ok that would be this and this right like,0,0
135,135,581.38,583.41,4,2,There is weights inserted in here,0,0
136,136,584.04,587.08,4,3,All right are we happy with eighty,0,0
137,137,584.04,586.16,4,2,A cork or something,0,0
138,138,587.12,588.3,4,1,Yeah,0,0
139,139,590.28,597.81,4,2,Oh I did not sorry we even convinced you you were wrong too,0,1
140,140,595.71,597.81,4,3,Yeah you convinced me I was wrong,0,0
141,141,591.32,596.41,4,1,Is it really I guess it was hard to tell because ,0,0
142,142,598.47,605.07,4,1,Oh if we do like this we are like doing a weird balancing act we have to go right in the center of mass,0,0
143,143,605.28,610.37,4,3,Ok please update the worksheet near thefind the research where you completed this portion of the task cool we've completed this portion of the task,0,0
144,144,610.53,620.28,4,4,Ok for the final part of this task read the scenario and estimate the weight of the missing second mystery block you will have two attempts to estimate and explain your answer you may now continue,0,0
145,145,620.31,623.46,4,3,The factory creates the wooden blocks,0,0
146,146,623.52,635.92,4,3,Did not send us the second mystery block you have two oppurtunities to estimate the weight of the second block explain in one to two seconds or one to two sentences how you determined the estimate indicate the weight of the second mystery block,0,0
147,147,635.95,639.0,4,1,It's gotta be a hundred and thirty if we are doing fibonacci,0,0
148,148,640.35,642.33,4,3,If we're doing fibonnaci yeah sure,0,0
149,149,643.02,644.58,4,3,But that's what they want us to think,0,0
150,150,644.58,646.29,4,1,TRUE,0,0
151,151,646.59,648.57,4,3,It could be,0,0
152,152,651.42,656.92,4,2,What's our sentence going to be we didn't want to follow the pattern because it was too obvious you know what I mean,0,0
153,153,650.7,664.02,4,3,Well I um there's two ends to a pattern right there's the lower end and there's the upper end this is not specifying that the mystery block is heavier,0,0
154,154,664.32,666.48,4,3,The second mystery block could be lighter,0,0
155,155,666.81,676.26,4,3,Oh no it did say that there it did say that there in scales of ten yeah ten is yeah ok oh I'm just trying to,0,1
156,156,668.22,672.17,4,1,Yeah it's gotta be heavier yeah cause,0,0
157,157,667.41,672.25,4,2,It can't yeah because the bottom one is ten x is zero,0,0
158,158,676.68,679.25,4,1,I said one thirty I feel like we can't overthink it,0,0
159,159,679.08,684.48,4,2,I agree one thirty because it follows fibonacci,1,0
160,160,685.92,690.9,4,2,No way caps lock is on a lot,0,0
161,161,690.99,692.34,4,3,How do you spell Fibonacci,0,0
162,162,693.66,695.88,4,2,O N A C C I,0,0
163,163,696.0,699.6,4,2,Oh that looks pretty good actually there might be two ns,0,0
164,164,700.2,700.44,4,1,No no there's,0,0
165,165,700.82,702.66,4,3,How do you spell Fibonacci,0,0
166,166,702.78,704.76,4,1,I think it's F oh it's that,0,0
167,167,704.97,706.02,4,1,You can also look it up,0,0
168,168,706.01,706.95,4,2,I think this is right yeah,1,0
169,169,707.4,715.44,4,3,I don't know I'm just going to leave it like that it follows Fibonacci because it was eighty plus fifty yeah cool alright we happy with that,0,0
170,170,714.64,715.44,4,1,Yeah,0,0
171,171,715.47,718.14,4,3,Cool alright select one thirty yeah,0,0
172,172,718.38,726.0,4,3,It is one thirty cool alright we have completed this task,0,1
173,173,721.25,723.75,4,2,We're done with that one,0,0
